word 	tf_score 	idf_score
00 	18 	7.6637710618 	137.947879112
000 	61 	6.37591677349 	388.930923183
01 	20 	7.72830958293 	154.566191659
03 	22 	7.44062751048 	163.693805231
06 	11 	7.95145313425 	87.4659844767
09 	14 	7.79730245442 	109.162234362
10 	157 	5.5237048983 	867.221669033
100 	100 	5.89306500177 	589.306500177
100 year 	10 	8.03846451124 	80.3846451124
1080p 	118 	5.70016133564 	672.619037606
1080p display 	16 	7.60314643998 	121.65034304
1080p hd 	20 	7.39183734631 	147.836746926
1080p screen 	13 	7.95145313425 	103.368890745
1080p video 	49 	6.56515877313 	321.692779883
11 	23 	7.34531733068 	168.942298606
11b 	13 	7.79730245442 	101.364931907
12 	77 	6.13229469083 	472.186691194
12 megapixel 	32 	7.00237257955 	224.075922546
1280 	14 	7.72830958293 	108.196334161
1280 720 	11 	7.95145313425 	87.4659844767
12mp 	12 	7.95145313425 	95.417437611
12mp camera 	11 	8.03846451124 	88.4231096236
13 	38 	6.90999925942 	262.579971858
13 megapixel 	24 	7.44062751048 	178.575060252
14 	19 	7.44062751048 	141.371922699
149 	14 	7.72830958293 	108.196334161
15 	18 	7.49192080487 	134.854574488
150 	13 	7.87141042657 	102.328335545
16 	74 	6.14590034289 	454.796625374
16 gb 	10 	8.03846451124 	80.3846451124
16 gigs 	18 	7.54598802614 	135.827784471
16gb 	113 	5.75422855691 	650.227826931
16gb internal 	34 	6.88101172255 	233.954398567
16gb storage 	17 	7.60314643998 	129.25348948
17 	16 	7.60314643998 	121.65034304
18 	22 	7.39183734631 	162.620421619
180 	11 	7.95145313425 	87.4659844767
1800 	24 	7.21748395917 	173.21961502
1800 1900 	22 	7.30086556811 	160.619042498
19 	19 	7.49192080487 	142.346495293
1900 	30 	7.06906395405 	212.071918621
199 	71 	6.30922539899 	447.955003328
199 99 	40 	6.93985222257 	277.594088903
1gb 	40 	6.74748032992 	269.899213197
1gb internal 	12 	7.95145313425 	95.417437611
1ghz 	134 	5.56882533358 	746.2225947
1ghz processor 	47 	6.60771838755 	310.562764215
1ghz snapdragon 	37 	6.79877362431 	251.554624099
20 	40 	6.72278771733 	268.911508693
200 	54 	6.48511606545 	350.196267535
200 year 	15 	7.6637710618 	114.956565927
2005 	22 	7.30086556811 	160.619042498
2006 	44 	6.69869016575 	294.742367293
2007 	61 	6.4110080933 	391.071493691
2008 	34 	6.90999925942 	234.93997482
2009 	47 	6.62969729427 	311.59577283
2010 	60 	6.34201522181 	380.520913309
2011 	69 	6.29322505764 	434.232528977
2012 	41 	6.72278771733 	275.634296411
2013 	51 	6.54453948593 	333.771513782
21 	15 	7.6637710618 	114.956565927
2100 	10 	8.03846451124 	80.3846451124
23 	15 	7.6637710618 	114.956565927
24 	19 	7.49192080487 	142.346495293
240 	20 	7.49192080487 	149.838416097
25 	14 	7.72830958293 	108.196334161
250 	12 	7.87141042657 	94.4569251189
27 	12 	7.95145313425 	95.417437611
28 	11 	7.95145313425 	87.4659844767
299 	22 	7.30086556811 	160.619042498
2d 	15 	7.6637710618 	114.956565927
2gb 	37 	6.79877362431 	251.554624099
2ghz 	63 	6.27747670068 	395.481032143
2ghz dual 	28 	7.06906395405 	197.933790713
2ghz processor 	18 	7.49192080487 	134.854574488
2megapixel 	13 	7.79730245442 	101.364931907
2megapixel camera 	11 	7.95145313425 	87.4659844767
2mp 	33 	6.90999925942 	228.029975561
2mp camera 	23 	7.25830595369 	166.941036935
30 	37 	6.82544187139 	252.541349241
300 	28 	7.06906395405 	197.933790713
32 	17 	7.54598802614 	128.281796444
320 	37 	7.00237257955 	259.087785443
32gb 	66 	6.26197251414 	413.290185933
32gb internal 	11 	7.95145313425 	87.4659844767
32gb storage 	10 	8.03846451124 	80.3846451124
35 	12 	7.87141042657 	94.4569251189
36 	12 	7.87141042657 	94.4569251189
360 	10 	8.03846451124 	80.3846451124
399 	15 	7.6637710618 	114.956565927
3d 	425 	5.17886441201 	2201.0173751
3d camera 	13 	7.79730245442 	101.364931907
3d content 	15 	7.87141042657 	118.071156399
3d display 	26 	7.44062751048 	193.456315273
3d interface 	25 	7.25830595369 	181.457648842
3g 	1210 	3.56112769676 	4308.96451308
3g bands 	16 	7.60314643998 	121.65034304
3g bluetooth 	16 	7.60314643998 	121.65034304
3g camera 	14 	7.72830958293 	108.196334161
3g connectivity 	39 	6.85284084558 	267.260792978
3g data 	35 	6.88101172255 	240.835410289
3g google 	12 	7.87141042657 	94.4569251189
3g gps 	41 	6.77279813791 	277.684723654
3g hsdpa 	38 	6.82544187139 	259.366791113
3g megapixels 	12 	7.87141042657 	94.4569251189
3g mobile 	16 	7.60314643998 	121.65034304
3g network 	43 	6.74748032992 	290.141654187
