word 	tf_score 	idf_score
100 year 	10 	8.03846451124 	80.3846451124
1080p display 	16 	7.60314643998 	121.65034304
1080p hd 	20 	7.39183734631 	147.836746926
1080p screen 	13 	7.95145313425 	103.368890745
1080p video 	49 	6.56515877313 	321.692779883
12 megapixel 	32 	7.00237257955 	224.075922546
1280 720 	11 	7.95145313425 	87.4659844767
12mp camera 	11 	8.03846451124 	88.4231096236
13 megapixel 	24 	7.44062751048 	178.575060252
16 gb 	10 	8.03846451124 	80.3846451124
16 gigs 	18 	7.54598802614 	135.827784471
16gb internal 	34 	6.88101172255 	233.954398567
16gb storage 	17 	7.60314643998 	129.25348948
1800 1900 	22 	7.30086556811 	160.619042498
199 99 	40 	6.93985222257 	277.594088903
1gb internal 	12 	7.95145313425 	95.417437611
1ghz processor 	47 	6.60771838755 	310.562764215
1ghz snapdragon 	37 	6.79877362431 	251.554624099
200 year 	15 	7.6637710618 	114.956565927
2ghz dual 	28 	7.06906395405 	197.933790713
2ghz processor 	18 	7.49192080487 	134.854574488
2megapixel camera 	11 	7.95145313425 	87.4659844767
2mp camera 	23 	7.25830595369 	166.941036935
32gb internal 	11 	7.95145313425 	87.4659844767
32gb storage 	10 	8.03846451124 	80.3846451124
3d camera 	13 	7.79730245442 	101.364931907
3d content 	15 	7.87141042657 	118.071156399
3d display 	26 	7.44062751048 	193.456315273
3d interface 	25 	7.25830595369 	181.457648842
3g bands 	16 	7.60314643998 	121.65034304
3g bluetooth 	16 	7.60314643998 	121.65034304
3g camera 	14 	7.72830958293 	108.196334161
3g connectivity 	39 	6.85284084558 	267.260792978
3g data 	35 	6.88101172255 	240.835410289
3g google 	12 	7.87141042657 	94.4569251189
3g gps 	41 	6.77279813791 	277.684723654
3g hsdpa 	38 	6.82544187139 	259.366791113
3g megapixels 	12 	7.87141042657 	94.4569251189
3g mobile 	16 	7.60314643998 	121.65034304
3g network 	43 	6.74748032992 	290.141654187
3g networks 	23 	7.25830595369 	166.941036935
3g phone 	24 	7.25830595369 	174.199342889
3g read 	20 	7.39183734631 	147.836746926
3g service 	10 	8.03846451124 	80.3846451124
3g slide 	41 	6.85284084558 	280.966474669
3g smartphone 	16 	7.60314643998 	121.65034304
3g speeds 	31 	6.97062388124 	216.089340318
3g support 	113 	5.76353094957 	651.278997302
3g umts 	12 	7.87141042657 	94.4569251189
3g wi 	35 	6.88101172255 	240.835410289
3g wifi 	17 	7.54598802614 	128.281796444
3in screen 	13 	7.87141042657 	102.328335545
3mp camera 	13 	7.87141042657 	102.328335545
3rd party 	11 	7.95145313425 	87.4659844767
41 megapixel 	14 	7.87141042657 	110.199745972
480 resolution 	10 	8.03846451124 	80.3846451124
49 99 	24 	7.30086556811 	175.220773635
4g android 	19 	7.54598802614 	143.373772497
4g best 	11 	7.95145313425 	87.4659844767
4g capable 	12 	7.87141042657 	94.4569251189
4g connectivity 	28 	7.10415527386 	198.916347668
4g coverage 	19 	7.49192080487 	142.346495293
4g data 	50 	6.56515877313 	328.257938656
4g device 	17 	7.54598802614 	128.281796444
4g features 	23 	7.25830595369 	166.941036935
4g giant 	19 	7.44062751048 	141.371922699
4g great 	11 	8.03846451124 	88.4231096236
4g hspa 	21 	7.34531733068 	154.251663944
4g htc 	21 	7.34531733068 	154.251663944
4g isn 	12 	7.87141042657 	94.4569251189
4g job 	17 	7.54598802614 	128.281796444
4g lte 	421 	4.62821729406 	1948.4794808
4g mobile 	14 	7.72830958293 	108.196334161
4g network 	34 	6.88101172255 	233.954398567
4g phone 	23 	7.30086556811 	167.919908066
4g read 	11 	7.95145313425 	87.4659844767
4g slide 	28 	7.44062751048 	208.337570293
4g smartphone 	16 	7.60314643998 	121.65034304
4g speeds 	83 	6.07965095735 	504.61102946
4g sprint 	13 	7.79730245442 	101.364931907
4g support 	18 	7.49192080487 	134.854574488
4g wimax 	13 	7.79730245442 	101.364931907
4s faster 	17 	7.54598802614 	128.281796444
4s isn 	23 	7.25830595369 	166.941036935
50 price 	13 	7.79730245442 	101.364931907
5530 xpressmusic 	14 	7.79730245442 	109.162234362
5800 xpressmusic 	50 	6.67515966834 	333.757983417
5ghz dual 	26 	7.14052291803 	185.653595869
5ghz processor 	17 	7.60314643998 	129.25348948
5megapixel camera 	15 	7.6637710618 	114.956565927
5mm audio 	32 	6.93985222257 	222.075271122
5mm headphone 	143 	5.48759989366 	784.726784793
5mm headset 	15 	7.6637710618 	114.956565927
5mm jack 	58 	6.3933085162 	370.81189394
5mp camera 	54 	6.44737573747 	348.158289823
5th edition 	17 	7.60314643998 	129.25348948
6500 classic 	22 	7.6637710618 	168.60296336
6700 slide 	15 	7.87141042657 	118.071156399
