word 	tf_score 	idf_score
10 10 	546 	7.45467241008 	4070.2511359
10 days 	554 	6.83116766258 	3784.46688507
1080p video 	283 	7.44023172593 	2105.58557844
1080p videos 	311 	7.45104264203 	2317.27426167
12 hours 	222 	7.67328080623 	1703.46833898
15 days 	461 	6.99151031265 	3223.08625413
1500 mah 	201 	7.79844394918 	1567.48723379
16 gb 	790 	6.48389349292 	5122.27585941
16gb internal 	242 	7.60761170272 	1841.04203206
1gb ram 	800 	6.46209426458 	5169.67541166
1ghz dual 	284 	7.46564144145 	2120.24216937
1ghz processor 	863 	6.35484873423 	5484.23445764
20 days 	267 	7.4954944046 	2001.29700603
2000 mah 	221 	7.68694844496 	1698.81560634
2012 and 	198 	7.78823977901 	1542.07147624
225 gpu 	211 	7.71958537427 	1628.83251397
24 hours 	380 	7.16336056958 	2722.07701644
24 hrs 	209 	7.72433597703 	1614.3862192
2gb ram 	360 	7.23663277068 	2605.18779745
2mp camera 	500 	6.88729461681 	3443.6473084
32 gb 	1029 	6.17172040046 	6350.70029208
3g and 	837 	6.37811983948 	5338.48630564
3g br 	215 	7.70546749272 	1656.67551094
3g data 	355 	7.21351035326 	2560.79617541
3g is 	342 	7.24544340037 	2477.94164293
3g network 	516 	6.858837412 	3539.16010459
3g on 	214 	7.74843352861 	1658.16477512
3g speed 	255 	7.55801476158 	1927.2937642
3g wifi 	308 	7.38108405342 	2273.37388845
3mp camera 	210 	7.76813859969 	1631.30910593
3rd party 	412 	7.12602289914 	2935.92143445
4g is 	262 	7.54201442024 	1976.0077781
4g lte 	706 	6.66952631102 	4708.68557558
4gb internal 	250 	7.58250578159 	1895.6264454
4s and 	295 	7.43665390458 	2193.81290185
512 mb 	1430 	5.888331806 	8420.31448258
512 ram 	234 	7.63336419882 	1786.20722252
512mb ram 	591 	6.77065771308 	4001.45870843
5mp camera 	994 	6.18389093608 	6146.78759047
600 mhz 	277 	7.51076187673 	2080.48103985
64 gb 	391 	7.18256554941 	2808.38312982
720 is 	337 	7.50309900399 	2528.54436434
720p hd 	231 	7.64209787879 	1765.32461
720p video 	243 	7.58250578159 	1842.54890493
720p videos 	218 	7.71485723307 	1681.83887681
768 mb 	287 	7.53017996259 	2161.16164926
800 mhz 	562 	6.77249426089 	3806.14177462
820 is 	259 	7.86195735491 	2036.24695492
832 mhz 	244 	7.58250578159 	1850.13141071
8gb internal 	218 	7.68237177793 	1674.75704759
8gb memory 	270 	7.47673212814 	2018.7176746
8mp camera 	838 	6.38060123033 	5346.94383101
920 is 	294 	7.56205517112 	2223.24422031
ability to 	1321 	5.94777072254 	7857.00512448
able to 	4143 	4.88358806405 	20232.7053494
about 10 	212 	7.71485723307 	1635.54973341
about battery 	222 	7.66427173629 	1701.46832546
about buying 	199 	7.77813868302 	1547.84959792
about everything 	207 	7.74843352861 	1603.92574042
about hours 	222 	7.68237177793 	1705.4865347
about it 	2299 	5.36123831331 	12325.4868823
about its 	369 	7.19370772597 	2654.47815088
about month 	281 	7.44023172593 	2090.70511499
about months 	244 	7.5701852972 	1847.12521252
about my 	238 	7.6118579936 	1811.62220248
about that 	297 	7.39468970548 	2196.22284253
about the 	5155 	4.66384199296 	24042.1054737
about this 	2882 	5.15136030869 	14846.2204097
about to 	229 	7.63336419882 	1748.04040153
above average 	367 	7.19370772597 	2640.09073543
above the 	246 	7.58664657426 	1866.31505727
absolutely love 	237 	7.61612239239 	1805.021007
absolutely no 	383 	7.21351035326 	2762.7744653
access the 	270 	7.51461544605 	2028.94617043
access to 	895 	6.30640453097 	5644.23205521
according to 	887 	6.34640986558 	5629.26555077
ace is 	202 	7.92394903093 	1600.63770425
ace plus 	246 	7.95945571939 	1958.02610697
across the 	250 	7.5908045844 	1897.7011461
add to 	217 	7.73390542805 	1678.25747789
addition to 	251 	7.54998258988 	1895.04563006
address book 	221 	7.7731261412 	1717.8608772
adobe flash 	289 	7.44382239406 	2151.26467188
adreno 200 	460 	7.07997896064 	3256.79032189
adreno 225 	334 	7.27538575698 	2429.97884283
advantage of 	288 	7.45104264203 	2145.9002809
affordable price 	386 	7.13654931213 	2754.70803448
after all 	445 	7.0030179195 	3116.34297418
after buying 	362 	7.20214659461 	2607.17706725
after days 	291 	7.41196129199 	2156.88073597
after few 	401 	7.11820017346 	2854.39826956
after getting 	240 	7.60338336661 	1824.81200799
after having 	261 	7.53410924073 	1966.40251183
after long 	224 	7.65534310554 	1714.79685564
after month 	207 	7.76813859969 	1608.00469014
after months 	329 	7.29379118452 	2399.65729971
after one 	207 	7.7533235139 	1604.93796738
after reading 	337 	7.27842989936 	2452.83087609
after sales 	370 	7.37771136894 	2729.75320651
after seeing 	208 	7.72910925578 	1607.6547252
after some 	213 	7.71015134204 	1642.26223585
after that 	422 	7.0504201584 	2975.27730684
after the 	756 	6.46749968315 	4889.42976046
after using 	1428 	5.84305505617 	8343.88262022
after week 	216 	7.74356733896 	1672.61054521
after you 	249 	7.62470613608 	1898.55182788
again and 	293 	7.47302154875 	2189.59531378
again it 	202 	7.78317647705 	1572.20164836
again the 	220 	7.68237177793 	1690.12179114
ago and 	619 	6.64819654421 	4115.23366087
ahead and 	270 	7.47302154875 	2017.71581816
ahead of 	330 	7.30939212497 	2412.09940124
all about 	243 	7.57838206441 	1841.54684165
all am 	222 	7.66427173629 	1701.46832546
all and 	280 	7.44742600156 	2085.27928044
all android 	360 	7.18812111926 	2587.72360293
all apps 	506 	6.87499937995 	3478.74968626
all are 	425 	7.04075824749 	2992.32225518
all around 	488 	6.88523488385 	3359.99462332
all br 	210 	7.74843352861 	1627.17104101
all can 	406 	7.07499141913 	2872.44651617
all day 	588 	6.7346177766 	3959.95525264
all features 	654 	6.59909721325 	4315.80957746
all games 	267 	7.48794719897 	1999.28190212
all good 	468 	6.94239329769 	3249.04006332
all great 	233 	7.62040505418 	1775.55437762
all have 	336 	7.25731297592 	2438.45715991
all in 	1838 	5.56705194859 	10232.2414815
all is 	264 	7.49928947557 	1979.81242155
all it 	591 	6.68793687286 	3952.57069186
all its 	708 	6.53475191016 	4626.60435239
all know 	278 	7.4954944046 	2083.74744448
all my 	1613 	5.81092090966 	9373.01542728
all of 	1858 	5.59610427118 	10397.5617359
all other 	972 	6.21603470914 	6041.98573728
all over 	365 	7.17979929592 	2620.62674301
all phones 	226 	7.67781596139 	1735.18640728
all that 	731 	6.52465809699 	4769.5250689
all the 	11029 	3.88621583659 	42861.0744617
all these 	553 	6.78172793684 	3750.29554907
all this 	784 	6.43944173035 	5048.5223166
all those 	665 	6.61781850885 	4400.84930839
all very 	212 	7.71485723307 	1635.54973341
all you 	460 	6.94895069823 	3196.51732119
all your 	522 	6.86486758102 	3583.46087729
allows me 	401 	7.33165059557 	2939.99188882
allows you 	406 	7.17979929592 	2914.99851414
