word 	tf_score 	idf_score
00 	460 	7.16881017435 	3297.6526802
000 	1082 	6.38184423857 	6905.15546613
01 	147 	8.1736037078 	1201.51974505
02 	153 	8.18864158516 	1252.86216253
03 	211 	7.86743682067 	1660.02916916
04 	198 	7.87848665686 	1559.94035806
05 	168 	8.12268361737 	1364.61084772
10 	8457 	4.4655071065 	37764.7935996
10 000 	195 	7.86195735491 	1533.08168421
10 10 	674 	7.15794050211 	4824.45189842
10 12 	108 	8.39861467328 	907.050384715
10 15 	139 	8.15878862201 	1134.07161846
10 battery 	143 	8.10859887749 	1159.52963948
10 camera 	129 	8.21941324383 	1060.30430845
10 days 	559 	6.82727660708 	3816.44762336
10 hours 	199 	7.80358534868 	1552.91348439
10 hrs 	109 	8.37096314195 	912.434982473
10 minutes 	121 	8.29232001464 	1003.37072177
10 seconds 	112 	8.38931228062 	939.60297543
10 times 	144 	8.09470976533 	1165.63820621
100 	1913 	5.61614502206 	10743.6854272
1000 	383 	7.18812111926 	2753.05038868
10000 	288 	7.48045652724 	2154.37147984
1080 	211 	7.78823977901 	1643.31859337
1080p 	1607 	5.80391807992 	9326.89635443
1080p hd 	165 	7.97157707992 	1315.31021819
1080p quality 	108 	8.38009562552 	905.050327556
1080p video 	291 	7.41196129199 	2156.88073597
1080p videos 	311 	7.45104264203 	2317.27426167
10k 	1552 	5.86729421571 	9106.04062278
10th 	101 	8.44647069446 	853.093540141
11 	1285 	6.00327150736 	7714.20388696
110 	161 	8.19624618455 	1319.59563571
1100 	101 	8.45632299091 	854.088622081
11k 	201 	7.82441943559 	1572.70830655
12 	2088 	5.5361468053 	11559.4745295
12 hours 	222 	7.67328080623 	1703.46833898
12 hrs 	105 	8.40800441363 	882.840463432
12 mp 	152 	8.08101092097 	1228.31365999
120 	133 	8.19624618455 	1090.10074254
1200 	110 	8.40800441363 	924.8804855
12000 	109 	8.39861467328 	915.448999388
1280 	262 	7.5908045844 	1988.79080111
1280 720 	114 	8.35294463645 	952.235688555
12k 	323 	7.42246926959 	2397.45757408
12mp 	171 	7.98384717251 	1365.2378665
13 	1193 	6.13315902373 	7316.85871531
13 mp 	186 	7.9356450707 	1476.02998315
13k 	339 	7.38786374041 	2504.485808
13mp 	259 	7.54201442024 	1953.38173484
13mp camera 	123 	8.25925915237 	1015.88887574
14 	819 	6.45270452423 	5284.76500534
14k 	194 	7.85108768267 	1523.11101044
15 	2290 	5.43180121989 	12438.8247935
15 20 	160 	8.0475629869 	1287.6100779
15 days 	465 	6.9823986323 	3246.81536402
150 	397 	7.1391983203 	2834.26173316
150 mb 	124 	8.29232001464 	1028.24768181
1500 	403 	7.12080095516 	2869.68278493
1500 mah 	201 	7.79844394918 	1567.48723379
15000 	210 	7.7731261412 	1632.35648965
1500mah 	164 	8.02801839083 	1316.5950161
