word 	tf_score 	idf_score
10 memory card 	62 	9.04609181701 	560.857692655
10 micro sd 	65 	8.89705623785 	578.30865546
1080p hd video 	51 	9.12019978917 	465.130189247
1080p video recording 	107 	8.38931228062 	897.656414027
12 mp camera 	85 	8.6406267089 	734.453270257
13 mp camera 	101 	8.51756661615 	860.274228231
1500 mah battery 	115 	8.31785331664 	956.553131414
16 gb internal 	155 	8.02801839083 	1244.34285058
16 gb memory 	72 	8.7809840666 	632.230852795
16gb internal memory 	164 	7.98384717251 	1309.35093629
16gb memory card 	62 	8.92830878136 	553.555144444
1gb internal memory 	58 	8.99390606384 	521.646551703
1ghz dual core 	294 	7.42953643681 	2184.28371242
1st android phone 	64 	8.92830878136 	571.411762007
2000 mah battery 	111 	8.37096314195 	929.176908757
2100 mah battery 	82 	8.65260289995 	709.513437796
225 gpu gb 	118 	8.29232001464 	978.493761727
225 graphics chip 	80 	8.67699435307 	694.159548246
256 mb ram 	134 	8.21163110339 	1100.35856785
2gb internal memory 	76 	8.72763808589 	663.300494528
2gb memory card 	59 	9.0110004972 	531.649029335
2ghz dual core 	76 	8.72763808589 	663.300494528
2ghz quad core 	55 	9.08245946118 	499.535270365
32 gb memory 	54 	9.06411032251 	489.461957416
32 gb microsd 	78 	8.70199565528 	678.755661112
32 gb using 	71 	8.79477738873 	624.4291946
320 480 pixels 	60 	9.02839223991 	541.703534395
32gb micro sd 	68 	8.86675088836 	602.939060408
3g data plan 	95 	8.50709531628 	808.174055046
3g video calling 	77 	8.80876363071 	678.274799564
3g wi fi 	148 	8.09470976533 	1198.01704527
3g wifi bluetooth 	53 	9.08245946118 	481.370351443
3rd party apps 	161 	8.0151977024 	1290.44683009
480 800 pixels 	81 	8.71473468106 	705.893509166
4g lte br 	66 	8.86675088836 	585.205558631
4gb internal memory 	188 	7.85108768267 	1476.00448434
4gb internal storage 	57 	9.0110004972 	513.62702834
512 mb ram 	1012 	6.20973216727 	6284.24895327
5ghz dual core 	71 	8.79477738873 	624.4291946
5mm audio jack 	51 	9.12019978917 	465.130189247
5mm headphone jack 	81 	8.66472426048 	701.842665099
5mp camera br 	66 	8.86675088836 	585.205558631
5mp camera flash 	114 	8.32651137938 	949.22229725
600 mhz processor 	118 	8.32651137938 	982.528342767
720p hd video 	74 	8.75395539421 	647.792699172
720p video recording 	85 	8.61709621149 	732.453177977
768 mb ram 	203 	7.79844394918 	1583.08412168
800 mhz processor 	318 	7.30625240496 	2323.38826478
820 mp camera 	73 	8.76737841454 	640.018624262
832 mhz processor 	151 	8.0475629869 	1215.18201102
850 900 1800 	69 	8.96056964357 	618.279305407
8gb internal memory 	145 	8.08783688604 	1172.73634848
8gb memory card 	133 	8.18864158516 	1089.08933083
8gb micro sd 	70 	8.80876363071 	616.613454149
8gb sd card 	59 	8.97709894552 	529.648837786
8mp camera br 	61 	8.9443091227 	545.602856485
900 1800 1900 	71 	8.92830878136 	633.909923476
a116 canvas hd 	65 	8.9443091227 	581.380092976
absolutely love phone 	75 	8.74071016746 	655.55326256
adobe flash player 	79 	8.68941687307 	686.463932973
adreno 200 gpu 	157 	8.10859887749 	1273.05002377
adreno 225 gpu 	211 	7.71958537427 	1628.83251397
adreno 225 graphics 	100 	8.45632299091 	845.632299091
amazing battery life 	133 	8.1736037078 	1087.08929314
amazing screen br 	65 	8.88178876572 	577.316269772
amazing sound quality 	54 	9.06411032251 	489.461957416
amazing touch screen 	50 	9.13961787502 	456.980893751
ambient light sensor 	188 	7.89529377517 	1484.31522973
amoled capacitive touchscreen 	74 	8.75395539421 	647.792699172
